# Directed graph (each unordered pair of nodes is saved once): web-Google.txt 
# Webgraph from the Google programming contest, 2002
# Nodes: 43 Edges: 5105039
# FromNodeId	ToNodeId
0	3        13
0	2        91
0	4        35
0	5        16
3	0        17
3	7        13
3	8        8
3	9        85
3	10        21
3	11        17
3	13        45
3	14        32
3	15        21
3	16        80
3	17        34
3	18        49
3	4        31
3	5        89
2	0        48
2	19        70
2	10        37
2	11        65
2	12        63
2	20        40
2	21        89
2	22        83
2	23        100
2	4        20
2	5        28
4	0        11
4	3        40
4	24        23
4	25        70
4	21        32
4	26        58
4	17        11
4	5        10
5	0        85
5	3        54
5	27        1
5	28        66
5	29        89
5	12        46
5	4        79
1	30        83
1	6        79
1	31        88
1	32        38
1	33        71
1	34        45
1	35        26
1	36        34
1	37        38
1	38        65
6	1        15
6	30        3
6	39        39
6	40        95
6	41        11
6	31        5
6	42        48
6	32        54
6	33        15
6	34        48
6	35        19
6	36        85
